state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termEct,std_med_income,std_employees,std_police_ideal,repLeg,demLeg,repGov,demGov,state,std_black,invLaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_35.54,adults_55.64,adults_65up,male_pop,female_pop,total_.incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless
1,0,,,23,,51,2013,AL,48.29479,0.754928919,0,-1.662252832,-0.327410637,1.087161115,1,0,1,0,ALABAMA,1.721245501,0,,,23,,51,4705800,0.666,0.262,0.039,0.011,0.129,0.316,0.357,0.176,0.248,0.094,0.113,0.265,0.131,0.149,0.481,0.519,115600,54099,28750,225628,48583,661,45233,531,4689
2,3,,,4,,4,2013,AK,7.36879,1.492908722,1,0.453437557,-0.280588931,0.483974086,1,0,1,0,ALASKA,-0.73755552,0,,,1,,1,705100,0.625,0.034,0.063,0.05,0.054,0,0.145,0,0.272,0.107,0.136,0.265,0.126,0.094,0.513,0.487,14600,87070,57260,30847,305,0,1080,0,1946
3,43,,,49,,71,2013,AZ,66.24617,0.669414696,0,-0.674766444,2.470790955,-0.302767842,1,0,1,0,ARIZO,-0.663367558,0,,,6,,28,6465700,0.568,0.039,0.302,0.029,0.113,0.243,0.293,0.161,0.258,0.095,0.119,0.252,0.12,0.155,0.492,0.508,132300,61132,39543,291437,7939,187,10266,281,10562
4,1,,,14,,20,2013,AR,29.58663,0.271294916,1,-1.818819918,-0.487036373,1.154258452,1,0,0,1,ARKANSAS,0.566032952,0,,,13,,19,2868600,0.738,0.154,0.069,0.012,0.149,0.346,0.314,0.131,0.255,0.089,0.118,0.259,0.127,0.153,0.491,0.509,69900,51497,26255,112297,15260,146,17049,270,3812
5,132,,,192,,279,2013,CA,383.35203,3.050581263,1,0.06694603,1.962838494,2.575904706,0,1,0,1,CALIFORNIA,-0.483196794,0,,,60,,147,37511300,0.389,0.055,0.385,0.136,0.107,0.263,0.231,0.122,0.253,0.102,0.129,0.273,0.116,0.126,0.494,0.506,600400,82885,43969,2041354,89921,1732,96004,2191,118552
6,10,,,20,,28,2013,CO,52.67603,0.849605469,1,0.692678918,0.060015304,0.135028344,0,1,0,1,COLORADO,-0.695162399,0,,,10,,18,5130200,0.694,0.036,0.211,0.029,0.093,0.239,0.235,0.098,0.251,0.095,0.13,0.275,0.127,0.123,0.498,0.502,120700,75333,40298,212756,6935,60,8505,91,9754
7,1,,,11,,13,2013,CT,35.96003,0.482621858,0,1.164950361,0.361691356,0.365709028,0,1,0,1,CONNECTICUT,-0.069863864,1,,,10,,12,3479000,0.695,0.096,0.146,0.041,0.061,0.199,0.25,0.106,0.235,0.082,0.111,0.286,0.137,0.15,0.486,0.514,62900,90185,42208,171894,14315,465,18135,228,4448
8,0,,,2,,5,2013,DE,9.25395,0.810654042,0,-0.501600249,-0.316974707,-0.281649603,0,1,0,1,DELAWARE,1.117143526,0,,,2,,5,898500,0.643,0.205,0.089,0.038,0.087,0.166,0.373,0,0.235,0.087,0.117,0.271,0.133,0.158,0.482,0.518,23700,71437,45945,37683,6034,87,6119,95,946
9,,,,,,,2013,,,,,,,,,,,,DISTRICT OF COLUMBIA,,,,,,,,610300,0.351,0.486,0.104,0.031,0.079,0.286,0.155,0.234,0.187,0.113,0.207,0.266,0.111,0.116,0.468,0.532,13700,108622,39699,37351,14099,189,14773,239,6865
10,0,,,100,,115,2013,FL,195.82022,0.944996108,1,-0.965625682,1.015155827,-0.482176286,1,0,1,0,FLORIDA,0.544836392,0,,,100,,115,19093200,0.563,0.152,0.238,0.026,0.119,0.282,0.22,0.138,0.219,0.089,0.109,0.265,0.131,0.187,0.485,0.515,389400,56505,34282,1010315,125565,2115,132598,2834,47862
11,12,,,31,,65,2013,GA,99.84938,-0.085839594,0,-1.013495372,-0.115118191,-0.513784123,1,0,1,0,GEORGIA,2.145176712,0,,,19,,53,9690900,0.549,0.304,0.091,0.035,0.126,0.268,0.313,0.147,0.267,0.094,0.119,0.281,0.118,0.12,0.483,0.517,624200,63079,36055,511805,121053,1381,118518,1914,16971
12,2,,,4,,4,2013,HI,14.06481,0.995019599,0,0.482459226,3.938806032,-1.712070026,0,1,0,1,HAWAII,-0.875333164,0,,,2,,2,1331500,0.217,0.015,0.096,0.383,0.106,0,0.098,0.105,0.236,0.09,0.121,0.258,0.133,0.162,0.489,0.511,28900,85655,59336,45551,459,0,682,5,6335
13,1,,,4,,7,2013,ID,16.12011,-0.021507813,0,-0.550005394,-0.405333191,-0.219028272,1,0,1,0,IDAHO,-1.034307368,0,,,3,,6,1580900,0.833,0,0.118,0.016,0.143,0,0.241,0,0.28,0.093,0.116,0.25,0.123,0.139,0.499,0.501,45500,56707,33935,61483,371,0,425,0,1781
14,14,,,27,,52,2013,IL,128.79505,1.425166197,0,0.031391808,-0.220066633,-1.13674437,0,1,0,1,ILLINOIS,0.396460468,0,,,13,,38,12571100,0.628,0.138,0.166,0.049,0.093,0.319,0.2,0.116,0.248,0.094,0.125,0.275,0.125,0.133,0.489,0.511,222700,72182,34210,649694,88662,1184,88557,1011,13425
15,12,,,22,,39,2013,IN,65.69102,0.700957341,0,-0.680013905,-0.297938827,-0.998376172,1,0,1,0,INDIA,-0.133453545,0,,,10,,27,6366500,0.807,0.088,0.065,0.018,0.127,0.309,0.304,0.183,0.257,0.092,0.115,0.269,0.129,0.138,0.489,0.511,179400,60041,30290,293032,25372,351,24461,360,6096
16,0,,,5,,15,2013,IA,30.9193,0.770128654,0,-0.219308293,-0.505873788,0.429676292,0,0,1,0,IOWA,-0.73755552,0,,,5,,15,2990300,0.876,0.032,0.054,0.02,0.111,0.324,0.233,0.203,0.25,0.091,0.115,0.258,0.134,0.152,0.494,0.506,45900,63073,27060,86486,2945,15,3302,68,3084
