state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termect,std_med_income,std_employees,std_police_ideal,repleg,demleg,repgov,demgov,state,std_black,invlaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_3554,adults_5564,adults_65up,male_pop,female_pop,total_incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless,black_unemp,underreport,black_unemp_per,homeless_per,unemployment_per,total_incar_per,underreport2
1,0,,,23,,51,2013,AL,48.294788,.75492895,0,-1.6622528,-.32741064,1.0871611,1,0,1,0,ALABAMA,1.7212455,0,,,23,,51,4705800,.66600001,.26199999,.039000001,.011,.12899999,.31600001,.35699999,.176,.248,.093999997,.113,.26499999,.131,.149,.48100001,.51899999,115600,54099,28750,225628,48583,661,45233,531,4689,95008,,.020189553,.00099642994,.047946788,.02456543,51
1,0,,,19,18,33,2014,AL,48.43214,.75492895,0,-1.5661922,-.33037636,1.0871611,1,0,1,0,ALABAMA,1.7212455,0,,,19,18,33,4714100,.66399997,.26300001,.039000001,.012,.13500001,.315,.37900001,.13600001,.243,.093999997,.113,.26300001,.133,.154,.48199999,.51800001,104900,54337,29055,213911,46312,613,42823,567,3970,90315,,.019158483,.00084215438,.045376848,.022252392,33
1,0,17,19,21,18,39,2015,AL,48.53875,-1.0504211,0,-1.3272721,-.32340497,1.0871611,1,0,1,0,ALABAMA,1.742442,0,17,19,21,18,39,4730100,.662,.26499999,.039999999,.012,.133,.30700001,.34400001,.124,.243,.090000004,.115,.26100001,.134,.15800001,.48100001,.51899999,107500,54695,29180,194005,42610,649,38418,473,3970,82150,17,.017367497,.00083930575,.041014988,.022726793,39
1,0,25,27,28,25,38,2016,AL,48.632999,-1.0504211,0,-1.0368413,-.3155092,1.0871611,1,0,1,0,ALABAMA,1.7318438,0,25,27,28,25,38,4730100,.66000003,.26499999,.041000001,.012,.121,.27900001,.31900001,.118,.241,.090000004,.115,.25799999,.13500001,.161,.48100001,.51899999,99800,55873,30180,172822,38609,490,35313,459,4111,74871,25,.01582863,.00086911483,.036536649,.021098919,38
1,,25,,27,25,43,2017,AL,,-.84667826,0,-.62004292,-.6653496,1.0871611,1,0,1,0,ALABAMA,1.742442,0,,,,,,4741400,.65799999,.266,.041000001,.013,.117,.26899999,.30599999,.193,.23999999,.090999998,.113,.255,.13600001,.16500001,.48199999,.51800001,99000,57820,31183,154741,35060,370,32773,389,3793,68592,,.014466614,.00079997472,.03263614,.020879909,
2,3,,,4,,4,2013,AK,7.3687901,1.4929087,1,.45343757,-.28058892,.4839741,1,0,1,0,ALASKA,-.7375555,0,,,1,,1,705100,.625,.034000002,.063000001,.050000001,.054000001,0,.145,0,.27200001,.107,.13600001,.26499999,.126,.093999997,.51300001,.48699999,14600,87070,57260,30847,305,0,1080,0,1946,1385,,.0019642604,.0027598923,.043748405,.020706283,1
2,1,,,2,1,4,2014,AK,7.3670502,1.4929087,1,1.1486726,-.27695987,.4839741,1,0,1,0,ALASKA,-.74815381,0,,,1,0,3,706600,.62,.029999999,.066,.061000001,.075999998,0,.20900001,0,.27200001,.109,.131,.26100001,.131,.096000001,.51700002,.48300001,14600,88221,55897,30180,408,0,1213,0,1956,1621,,.0022940843,.0027681857,.042711578,.020662326,3
2,2,4,5,5,4,5,2015,AK,7.37709,.262413,1,1.9500347,-.27695987,.4839741,1,0,0,0,ALASKA,-.72695726,0,2,3,3,2,3,4730100,.61500001,.032000002,.067000002,.068999998,.075999998,0,0,0,.271,.111,.13600001,.25099999,.131,.1,.514,.486,13900,88430,51944,29362,363,0,1073,21,1956,1457,2,.00030802732,.00041352192,.0062074796,.002938627,3
2,6,7,8,7,8,10,2016,AK,7.4189401,.262413,1,2.0154674,-.28022602,.4839741,1,0,0,0,ALASKA,-.77994865,0,1,2,1,2,4,714900,.61400002,.028999999,.067000002,.059999999,.068000004,0,.178,0,.27200001,.102,.142,.25099999,.132,.103,.51700002,.48300001,12900,90966,53800,28107,378,0,881,22,1940,1281,1,.001791859,.0027136663,.039315987,.018044481,4
2,,8,,8,8,12,2017,AK,,.068108171,1,1.6415055,-.29909712,.4839741,1,0,0,0,ALASKA,-.77994865,0,,,,,,710100,.61000001,.025,.067000002,.066,.082999997,0,0,0,.271,.090000004,.138,.259,.13,.113,.51300001,.48699999,12600,92952,56696,27521,427,0,755,16,1845,1198,,.0016870863,.0025982256,.038756512,.017743981,
